sentence,poss,pr_labels,label
i sincerely apologize,PRP RB VB,aa qw,fa
i highly apologize,PRP RB VB,^h aap_am,fa
i greatly apologize,PRP RB VBP,aap_am ba,fa
i deeply apologize,PRP VBP VB,^h ba,fa
i would like to sincerely apologize for,PRP MD VB TO RB VB IN,qy ^h,fa
i would like to express my sincere apology for,PRP MD VB TO VB PRP$ JJ NN IN,^h aap_am,fa
i would like to offer a sincere apology for,PRP MD VB TO VB DT JJ NN IN,ba h,fa
i apologize for not,PRP VBP IN RB,h ad,fa
i apologize for the confusion,PRP VBP IN DT NN,h ad,fa
i apologize for what happened,PRP VBP IN WP VBD,h ad,fa
i apologize for the multiple email,PRP VBP IN DT NN NNS,qw sd,fa
i apologize for the mistake i made,PRP VBP IN DT NN PRP VBD,ad sd,fa
i apologize on behalf of the company,PRP VBP IN NN IN DT NN,qy aa,fa
i apologize for any grammatical error,PRP VBP IN DT JJ NNS,sd aa,fa
i am sorry for my mistake,PRP VBP RB IN PRP$ NN,sd ba,fa
i am sorry for my action,PRP VBP RB IN PRP$ NNS,aap_am ba,fa
i am sorry for messing up,PRP VBP JJ IN VBG RP,sv sd,fa
i am sorry for any misunderstanding i may have caused,PRP VBP JJ IN DT NN PRP MD VB VBN,^h qy,fa
i am sorry for disappointing you,PRP VBP JJ IN VBG PRP,qw ad,fa
i am sorry and apologize for,PRP VBP JJ CC VB IN,ba ad,fa
i am sorry to bother you again,PRP VBP JJ TO VB PRP RB,sv sd,fa
i am sorry and sincerely apologize for the inconvenience caused,PRP VBP JJ CC RB VB IN DT NN VBD,^h aap_am,fa
i am so sorry about this,PRP VBP RB JJ IN DT,qy sd,fa
i am asking for an apology,PRP VBP VBG IN DT NN,qw sv,fa
i have to apologize,PRP VBP TO VB,sd sv,fa
please accept my apology for the mistake,NNP VB PRP$ NNS IN DT NN,qw qy,fa
please accept my sincere apology for the inconvenience caused,NNP VB PRP$ JJ NNS IN DT NN VBD,ba aa,fa
please accept my sincere apology for the delay,NN VB PRP$ JJ NNS IN DT NN,h ba,fa
please accept my apology for the late response,NNP VB PRP$ NNS IN DT JJ NN,sv ^h,fa
