sentence,poss,pr_labels,label
and confirm that address for me please,CC NN WDT NN IN PRP VB,sd qy,ad
let me think,VB PRP VB,sv qy,ad
show your credit card,VB PRP$ NN NN,aa ad,ad
book that for me,NN IN IN PRP,qw aa,ad
give me the postcode first of all,VB PRP DT NN RB IN DT,qw qy,ad
and just confirm the rest of the address please,CC RB VB DT NN IN DT NN NN,aa h,ad
let me just get that down ok,VB PRP RB VB DT RP NN,aap_am aa,ad
just check that,RB NN IN,aap_am h,ad
and confirm the address for me please,CC VB DT NN IN PRP VB,h ^h,ad
and take your letter of authorisation with you,CC VB PRP$ NN IN NN IN PRP,ad sd,ad
just bear with me,RB NN IN PRP,ba sd,ad
hold on a second,NN IN DT JJ,sv ad,ad
excuse a moment,VB DT NN,h sv,ad
stick to the date and ti ame that you book,NN TO DT NN CC NN NN IN PRP NN,ba h,ad
confirm that address for me please,NN WDT NN IN PRP VB,aa sd,ad
leave it open,VB PRP JJ,qw aa,ad
let me get it the right way round,VB PRP VB PRP DT JJ NN NN,aa sd,ad
and confirm that address for me,CC NN WDT NN IN PRP,aa qy,ad
let me get this right,VB PRP VB DT NN,h qy,ad
call u back when you are ready,VB PRP RP WRB PRP VBP JJ,h sd,ad
let is go with that then to for the,NN VBZ VB IN DT RB TO IN DT,qy ba,ad
hold the line,VB DT NN,^h aap_am,ad
just hold the line,RB VB DT NN,aa aap_am,ad
let is go for it,NN VBZ VB IN PRP,ad ^h,ad
take a coach to from macclesfield to wilmslow,VB DT NN TO IN VBN TO VB,sd aap_am,ad
remember the test date,VB DT NN NN,sd ad,ad
live in peace,JJ IN NN,ba ad,ad
include the required attachements,VBP DT JJ NNS,sv qy,ad
do not follow me,VB RB VB PRP,ba qw,ad
do not eat in class,VB RB VB IN NN,sv h,ad
kill the butterfly,VB DT NN,qy ad,ad
take me to the library,VB PRP TO DT NN,ba qy,ad
find out what you like to do most and really give it a whirl,VB RP WP PRP VBP TO VB JJS CC RB VB PRP DT NN,^h sv,ad
move around town,NN RB NN,aap_am ad,ad
let take a walk,NNS VBP DT NN,aa qw,ad
do not stop me now,VB RB VB PRP RB,sd ad,ad
stop talking now,VB VBG RB,ba qw,ad
do not smoke in your room,VB RB VB IN PRP$ NN,ba qy,ad
do not you talk to me like that,VB RB PRP VBP TO PRP IN DT,ad sv,ad
do not worry be happy,VB RB VB VB JJ,aap_am qw,ad
eat your veggie,VB PRP$ NNS,qw qy,ad
let them cool,VB PRP VB,ba aa,ad
take your coat off,VB PRP$ NN IN,qy aa,ad
power the world,NN DT NN,qy aap_am,ad
repair your camera,VB PRP$ NN,ba aa,ad
write read do what you need,JJ NN VBP WP PRP VBP,h ^h,ad
do not touch me,VB RB VB PRP,aa h,ad
mix together sugar and salt,NN RB NN CC NN,qw ad,ad
lock the door,VB DT NN,qy ^h,ad
rise against the tyrannical government,NN IN DT JJ NN,qw ad,ad
driver carefully,NN RB,aap_am aa,ad
have a safe trip,VB DT JJ NN,ad sv,ad
bring me a suitcase from my closet,VB PRP DT NN IN PRP$ NN,sd qw,ad
do not wait for my answer get started right away,VB RB VB IN PRP$ NN NN VBD RB RB,sv h,ad
give me your full name please,VB PRP PRP$ JJ NN NN,qw sv,ad
you better be quit,PRP JJR VB NN,ba qw,ad
eat them with milk,VB PRP IN NN,qy sd,ad
meet me at the town square,VB PRP IN DT NN NN,^h aap_am,ad
buy now while supply last,VB RB IN NNS JJ,qy sv,ad
run for cover,NN IN NN,qw sd,ad
enjoy some fresh apple,VB DT JJ NNS,sd qw,ad
start a fire with your bare hand,VB DT NN IN PRP$ NN NNS,^h aap_am,ad
change your clothes after playing outsi woulde,VB PRP$ NNS IN VBG JJ NN,^h sv,ad
write an email to your bos,VB DT NN TO PRP$ NN,ad aa,ad
learn your lesson,VB PRP$ NNS,qw ^h,ad
mop the floor,VB DT NN,sv qy,ad
give u the gate key,VB PRP DT NN NN,ad aap_am,ad
give me a few week i will get back to you when i have ti ame,VB PRP DT JJ NNS VBP MD VB RB TO PRP WRB NNS VBP VBN NN,aap_am ba,ad
cancel the meeting,VB DT NN,h aap_am,ad
be nice to your brother,VB JJ TO PRP$ NN,^h aa,ad
open the window,VB DT NN,ad ba,ad
keep working,VB NN,aap_am aa,ad
wait for it,NN IN PRP,ad ^h,ad
write in irish,NN IN JJ,sd qy,ad
stand in line,NN IN NN,aa ^h,ad
live in balance with nature,JJ IN NN IN NN,^h sd,ad
speak freely and spread the word,NN RB CC VB DT NN,sv sd,ad
be sure to clean your weapon,VB JJ TO VB PRP$ NN,sv aap_am,ad
return the slave,VB DT NNS,^h sv,ad
speak up i can not hear you,VB RP NNS MD RB VB PRP,sd qy,ad
i would be grateful if you di would not tell anyone about this,NN MD VB JJ IN PRP VBP MD RB VB NN IN DT,qw aa,ad
i would be grateful if you di wouldnt tell anyone about this,NN MD VB JJ IN PRP VBP JJ VBP NN IN DT,qw ad,ad
you watch your mouth young man,PRP VBP PRP$ NN JJ NN,^h aap_am,ad
tell her i need her right now,VB PRP$ NN VBP PRP$ NN RB,^h sv,ad
make me a cup of tea,VB PRP DT NN IN NN,sv ad,ad
have a coke and a smile,VB DT NN CC DT NN,aap_am aa,ad
do not go out on the ice,VB RB VB RP IN DT NN,qy ad,ad
have fun at the fair tonight,VB NN IN DT JJ NN,ad sd,ad
have a break,VB DT NN,sd ad,ad
buy a kitkat,VB DT NN,^h qw,ad
get out of my way,VB IN IN PRP$ NN,qy h,ad
stop playing with your food,VB NN IN PRP$ NN,aap_am sv,ad
lead the pack,VB DT NN,aap_am qy,ad
please lower your voice,VB JJR PRP$ NN,^h aap_am,ad
cancel the order,VB DT NN,qy qw,ad
help the poor,VB DT JJ,qw ad,ad
first boil some water,RB VB DT NN,sd aap_am,ad
pas the bowl of potato,NN DT NN IN NNS,aap_am ^h,ad
sit be quite,NN VB RB,^h qw,ad
feed the hungry,VB DT NN,sv aap_am,ad
have fun tonight,VB NN NN,qy qw,ad
put the cake out to cool,VBD DT NN IN TO VB,h ad,ad
please be quit,NN VB NN,aa aap_am,ad
take if you must this little bag of dream,VB IN PRP MD DT JJ NN IN NNS,sv sd,ad
report on what you find,NN IN WP PRP VBP,^h ad,ad
love your enemy,VB PRP$ NNS,sd qw,ad
work to achive the goal,NN TO VB DT NNS,ba ^h,ad
let this generation have theirs,VB DT NN VBP NNS,ad qw,ad
enjoy your meal,VB PRP$ NN,qw aap_am,ad
be kind for everyone you meet is fighting a hard battle,VB NN IN NN PRP VBP VBZ VBG DT JJ NN,aa sv,ad
shop without me,NN IN PRP,sv h,ad
carry by hand gun,NN IN NN NN,sd h,ad
do not eat my grape,VB RB VB PRP$ NNS,aa ba,ad
feel free to text me later,VB JJ TO VB PRP RB,sv sd,ad
speak in spanish,NN IN JJ,^h ba,ad
heat the pan with oil,NN DT NN IN NN,qy ^h,ad
take note while listening,VB NNS IN VBG,h sd,ad
choose the german sheperd over the huskey,VB DT JJ NN IN DT NN,^h aap_am,ad
please find my yellow leotard,NN VB PRP$ JJ NN,sv ad,ad
do not press that button,VB RB VB IN NN,qy qw,ad
launch the missles,NN DT NNS,sd qy,ad
then pour the water into a cup,RB VBZ DT NN IN DT NN,aa ad,ad
cut out the cooky with a cookie cutter,VBN RP DT NNS IN DT NN NN,aap_am ad,ad
do not eat the cooky,VB RB VB DT NNS,sv sd,ad
remember to wash under your armpit is,VB TO VB IN PRP$ NN VBZ,^h aa,ad
let the cooky brown before taking them out,VB DT NNS VBN IN VBG PRP RP,ad aa,ad
call the doctor,VB DT NN,qw qy,ad
take me home,VB PRP NN,qy sd,ad
enrich the poor,IN DT JJ,aap_am sd,ad
consi woulder the red dress,NN VBZ DT JJ NN,sd aa,ad
watch the vi wouldeos and report back,VB DT NN NN CC NN RB,qw qy,ad
do not take thing too seriously,VB RB VB NNS RB RB,sd sv,ad
come with me,NN IN PRP,^h h,ad
unloose the cord and they will wrap you round,VB DT NN CC PRP MD VB PRP VB,aa h,ad
put down the spoon,VB RP DT NN,sd sv,ad
wait for me,NN IN PRP,h ad,ad
tell me what you think,VB PRP WP PRP VBP,sv aap_am,ad
let take a walk on the wild si woulde,NNS VBP DT NN IN DT JJ NN NN,qw sd,ad
paint the door,NN DT NN,qy ad,ad
look for the painted lady,NN IN DT JJ NN,qw sd,ad
cure the sick,NN DT NN,qy sv,ad
throw the ball,VB DT NN,^h aa,ad
shop on sunday,NN IN NNS,sv ba,ad
silence please,NN NN,h qy,ad
swich off your cell phone,VB RP PRP$ NN NNS,aap_am ^h,ad
turn off your phone,VB RP PRP$ NNS,ba ad,ad
remove any battery from your luggage,VB DT NNS IN PRP$ NN,ba aap_am,ad
do not text me,VB RB VB PRP,aa qw,ad
do not beat hi am,VB RB VB NNS VBP,ad aap_am,ad
do not waste your ti ame,VB RB VB PRP$ NN NN,qw sd,ad
after that add a little milk,IN DT VBZ DT JJ NN,ad qy,ad
may i suggest the black suit,MD VB VBP DT JJ NN,h ad,ad
put down the knife,VB RP DT NN,qw sv,ad
eat log of popcorn,JJ NNS IN NN,qw aa,ad
black me out,JJ PRP RP,sd h,ad
play the guitar for me,VB DT NN IN PRP,aap_am sv,ad
let is face it,NN VBZ VB PRP,qy sv,ad
let face it,NNS VBP PRP,ba aap_am,ad
do take a seat,VB VB DT NN,sd sv,ad
please hand me the key,NN NN PRP DT NNS,qw qy,ad
work in pair,NN IN NNS,sd sv,ad
please ti wouldy up your room,VB NN WRB RP PRP$ NN,qy aa,ad
fetch a glass of water,VB DT NN IN NN,sd ba,ad
complete the exercies,VB DT NNS,ad qy,ad
tack the package before you leave,NN DT NN IN PRP VBP,sv ad,ad
slice the apple,NN DT NN,aa aap_am,ad
open the back door,VB DT JJ NN,sd sv,ad
question everything,NN NN,aa qy,ad
join our table during the wedding,VB PRP$ NN IN DT NN,qw qy,ad
play nice in the sandbox,NN RB IN DT NN,sd ^h,ad
roll out your cookie dough,NN RP PRP$ NN NN,sv h,ad
do not forget to take your passport with you,VBP RB VB TO VB PRP$ NN IN PRP,aap_am h,ad
forget all about it,VB DT IN PRP,aap_am h,ad
do not steal the cooky from the cookie jar,VB RB VB DT NNS IN DT NN NN,aap_am ^h,ad
please send the nurse in,VB VB DT NN IN,qw aap_am,ad
tell me the story of your life,VB PRP DT NN IN PRP$ NN,aa ^h,ad
stir in the coffee,NN IN DT NN,aa qw,ad
do not bear false witness against thy neighbor,VB RB VB JJ NN IN JJ NN,ad aa,ad
do not stay out too late,VB RB VB RB RB JJ,sd aap_am,ad
switch off the ac,VB RP DT NN,h ^h,ad
listen to the audio,NN TO DT NN,qy h,ad
keep your cell phone or laptop closed,VB PRP$ NN NNS CC NNS VBD,sv aa,ad
move out of the way,NN IN IN DT NN,sv aap_am,ad
try to skip the first step,NN TO VB DT JJ NN,sd aap_am,ad
please join my wife and i for dinner,NN VB PRP$ NN CC NN IN NN,aap_am h,ad
all trading should occur on the nile,DT NN MD VB IN DT NN,ba ad,ad
fake it or make it,VB PRP CC VB PRP,qw aa,ad
clean the desk,VB DT NN,aap_am ^h,ad
have a piece of cake,VB DT NN IN NN,h sd,ad
move quickly,NN RB,h qw,ad
write a letter to the warden,VB DT NN TO DT NN,qw aa,ad
come on mary i am waiting,VBN IN JJ NN VBP VBG,ad ba,ad
come to the ball with me,VBN TO DT NN IN PRP,h aa,ad
do not turn left on red,VB RB VB VBN IN JJ,ad qw,ad
play the song mercy me by alkaline trio,VB DT NN VB PRP IN NN NN,aa qy,ad
go up to the board,VB RP TO DT NN,qw aa,ad
do not forget me,VBP RB VB PRP,h ^h,ad
launch firefox,NN NN,qy ba,ad
complete these by tomorrow,JJ DT IN NN,qy aap_am,ad
always remember who your bos is,RB VB WP PRP$ NN VBZ,ba ad,ad
come with me to church,NN IN PRP TO VB,aap_am qw,ad
continue to deliver on your obligation,NN TO VB IN PRP$ NNS,sd sv,ad
play me a tune from your trumpet,VB PRP DT NN IN PRP$ NN,ba ^h,ad
do not make a noise,VBP RB VB DT NN,qy aa,ad
take your medicine,VB PRP$ NNS,h ba,ad
fetch me a glass of water,VB PRP DT NN IN NN,h aap_am,ad
write your name on the exam,VB PRP$ NN IN DT NN,aa ba,ad
pause the song,IN DT NN,ad sd,ad
do not look back,VB RB VB RB,sd aap_am,ad
eat the lunch full,VB DT NN JJ,qy ^h,ad
wash your hand before eating,VB PRP$ NNS IN VBG,qy qw,ad
stop the bus,VB DT NN,h sv,ad
do not miss your class,VB RB VB PRP$ NN,sd sv,ad
finish your task,VB PRP$ NN,sd ^h,ad
promise that you will do what you need to do,NN IN PRP MD VB WP PRP VBP TO VB,h sv,ad
march forward,NN NN,aap_am ba,ad
walk to the corner turn left and cross the road,NN TO DT NN NN VBD CC VB DT NN,^h qw,ad
try again next ti ame,VB RB JJ NN NN,^h sd,ad
complete these file by tomorrow,JJ DT NNS IN NN,ba ad,ad
write a text to your wife,VB DT NN TO PRP$ NN,qy ^h,ad
let them eat cake,VB PRP VB NN,ba ^h,ad
use this website,NN DT NN,sd qy,ad
retreat to england,NN TO VB,ad aa,ad
shut the door,VB DT NN,ba sv,ad
remember what it is worth to you,VB WP PRP VBZ JJ TO PRP,sd sv,ad
play the song alive by i ama robot,VB DT NN JJ IN JJ NN NN,^h ba,ad
play hard work hard,VB JJ NN RB,sv qw,ad
